,cmpdname,isosmiles,target
0,1-Methyl-5-phenyl-1H-pyrazole-4-carboxylic acid,CN1C(=C(C=N1)C(=O)O)C2=CC=CC=C2,1
1,O-phosphonato-L-homoserine(2-),C(COP(=O)([O-])[O-])[C@@H](C(=O)[O-])[NH3+],1
2,unnamed,CCCCCCCCCCCCOC(=S)NC,0
3,unnamed,NCc1ccc(S(N)(=O)=O)cc1,0
4,unnamed,N=c1[nH]nnn1CCCl,0
5,unnamed,O=C1CSC(=O)N1,0
6,unnamed,CC1(C)NC(=S)NC1=O,0
7,Arachidonic acid,CCCCC/C=C\\C/C=C\\C/C=C\\C/C=C\\CCCC(=O)O,1
8,"2,5,8,11,14,17-Hexaoxaoctadecane",COCCOCCOCCOCCOCCOC,1
9,unnamed,CSc1nnc2[nH]cnn12,0
10,7-Methylguanosine 5'-diphosphate,CN1C=[N+](C2=C1C(=O)NC(=N2)N)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)O)O)O,1
11,Clonitralid,C1=CC(=C(C=C1[N+](=O)[O-])Cl)NC(=O)C2=C(C=CC(=C2)Cl)O.C(CO)N,1
12,[5-Hydroxy-4-(hydroxymethyl)-6-methylpyridin-3-yl]methyl phosphate,CC1=NC=C(C(=C1O)CO)COP(=O)([O-])[O-],1
13,unnamed,N#CCCC1C(=O)CCCC1=O,0
14,unnamed,c1ccc2c(c1)OCc1nccn1-2,0
15,Boceprevir,CC1([C@@H]2[C@H]1[C@H](N(C2)C(=O)[C@H](C(C)(C)C)NC(=O)NC(C)(C)C)C(=O)NC(CC3CCC3)C(=O)C(=O)N)C,1
16,3-(1H-imidazol-3-ium-4-yl)-L-alanine,C1=C(NC=[NH+]1)C[C@@H](C(=O)O)N,1
17,unnamed,C1CSCCSCCSCCS1,0
18,5-[(carbamoylcarbamoyl)amino]-2-methyl-N-[(1R)-1-(naphthalen-1-yl)ethyl]benzamide,CC1=C(C=C(C=C1)NC(=O)NC(=O)N)C(=O)N[C@H](C)C2=CC=CC3=CC=CC=C32,1
19,unnamed,CC1=Nc2nnnn2N=C(C)C1,0
20,unnamed,Cn1ccnc1Oc1ccc(Cl)cc1,0
21,unnamed,O=c1cc2cccccc-2o1,0
22,N-methyl-4-sulfamoylbenzamide,CNC(=O)C1=CC=C(C=C1)S(=O)(=O)N,1
23,N-[(2-fluorophenyl)methyl]-1H-pyrazol-4-amine,C1=CC=C(C(=C1)CNC2=CNN=C2)F,1
24,"4-(2,6-dichlorobenzamido)-N-(piperidin-4-yl)-1H-pyrazole-3-carboxamide",C1CNCCC1NC(=O)C2=C(C=NN2)NC(=O)C3=C(C=CC=C3Cl)Cl,1
25,Acrivastine and pseudoephedrine hydrochloride,CC1=CC=C(C=C1)/C(=C\\CN2CCCC2)/C3=CC=CC(=N3)/C=C/C(=O)O.C[C@@H]([C@H](C1=CC=CC=C1)O)NC.Cl,1
26,Palmitic acid,CCCCCCCCCCCCCCCC(=O)O,1
27,unnamed,CC1(C)COC(c2ccccc2Cl)N1,0
28,"(2S,4R)-1-(2-(3-Acetyl-5-(2-methylpyrimidin-5-yl)-1H-indazol-1-yl)acetyl)-N-(6-bromopyridin-2-yl)-4-fluoropyrrolidine-2-carboxamide",CC1=NC=C(C=N1)C2=CC3=C(C=C2)N(N=C3C(=O)C)CC(=O)N4C[C@@H](C[C@H]4C(=O)NC5=NC(=CC=C5)Br)F,1
29,5-amino-3-methyl-1H-pyrazole-4-carbonitrile,CC1=C(C(=NN1)N)C#N,1
30,unnamed,CC1(C)CCCC2C1=NOC2O,0
31,Leucine,CC(C)C[C@@H](C(=O)O)N,1
32,"(2R)-1',4'-dihydro-2'H-spiro[pyrrolidine-2,3'-quinolin]-2'-one",C1C[C@]2(CC3=CC=CC=C3NC2=O)NC1,1
33,unnamed,Cn1c(=O)cn[nH]c1=O,0
